Store,Container_404,Bad_Subs,Manual_Pick
53847,29,2,81
36876,74,11,62
5059,8,33,57
14449,11,47,132
94067,45,5,30
60612,55,5,111
69509,45,25,132
31904,32,46,32
35943,31,12,49
89930,36,47,94
55535,73,39,52
93950,9,42,92
52856,46,42,74
92926,42,32,115
25470,45,31,50
58627,68,1,129
61441,33,35,1
18416,14,18,141
25143,32,44,143
48048,43,41,109
31214,47,18,99
61961,55,27,70
55177,49,31,34
1028,71,24,26
30235,30,12,3
64564,55,18,35
91880,45,7,57
84569,26,11,50
37151,36,14,77
99372,73,35,108
91212,37,14,134
47546,28,45,99
39533,31,27,70
16394,46,24,50
59655,36,28,22
30673,10,31,24
11356,46,19,149
67716,52,29,40
71335,58,30,91
5200,7,11,26
48584,39,40,115
39961,74,17,114
66814,10,19,24
39103,41,28,98
77216,65,40,60
21799,25,8,109
11405,35,37,64
79800,67,28,48
2852,9,32,101
57140,36,1,89
3601,26,33,94
78612,40,50,30
33505,26,12,68
30402,23,5,73
4397,5,32,64
97960,44,1,132
33595,64,37,122
49823,23,18,98
66559,69,29,24
26578,49,31,92
68680,35,30,124
78049,50,3,139
7673,39,7,126
88916,35,40,21
80880,48,49,47
69638,56,41,132
85504,9,24,104
25484,74,1,27
20414,55,4,84
58702,33,21,53
80700,52,37,51
43806,48,46,62
79982,64,18,14
85593,15,41,38
62898,15,5,94
40748,48,31,85
82855,29,15,123
36195,68,45,27
76160,14,39,129
46502,49,19,97
80073,73,29,85
48622,56,49,73
85939,57,31,146
8625,70,10,28
2233,56,23,150
21249,61,41,92
53429,17,40,131
83421,47,36,56
65302,66,30,24
86790,21,14,21
29828,36,46,4
38408,10,24,24
90907,14,44,65
23099,9,20,12
14358,18,10,116
54488,55,50,141
96548,11,29,71
52136,67,39,91
4573,26,32,30
22392,20,40,75
42069,19,12,73
90399,13,25,73
42496,62,37,53
41800,9,46,9
59237,69,10,3
59550,37,45,150
79915,40,24,89
78242,11,24,23
71968,73,45,64
95262,11,27,55
21083,73,18,126
3222,67,45,77
62350,25,44,4
53306,19,30,2
35202,44,7,139
86577,5,26,59
17747,10,10,61
58273,8,29,37
76324,18,15,148
43460,20,8,45
37171,39,46,57
37898,31,19,133
21946,7,31,136
74259,58,32,5
632,12,42,88
92448,58,14,35
46661,40,1,115
11475,62,39,24
90096,75,45,108
86220,70,38,4
611,48,44,83
65497,6,29,134
86816,13,7,87
43695,40,28,5
73733,33,28,2
17412,13,10,76
76824,22,20,146
43746,35,49,111
8191,73,20,102
35210,49,16,95
63946,69,16,140
57497,25,27,127
10978,75,41,150
11381,55,22,22
59118,60,44,118
90573,39,21,98
45995,70,46,120
51360,13,26,46
19957,18,28,105
72306,67,14,45
58802,52,8,42
90715,56,22,15
52828,34,50,139
5240,14,22,12
23246,28,31,71
65722,25,45,17
43960,34,39,128
74069,28,11,132
65057,7,17,33
44828,27,34,56
95095,72,33,69
27873,32,25,146
4909,47,1,59
45013,44,20,110
65744,60,32,23
39582,11,14,95
60386,15,3,69
49967,7,30,131
62709,65,1,114
28920,72,17,19
14548,26,39,26
39350,75,32,45
33193,5,47,106
47422,68,37,43
13505,70,37,84
94515,41,9,47
86641,39,21,109
85563,59,5,141
85299,5,27,95
24553,51,21,27
58427,55,45,107
70175,65,47,145
77127,75,49,48
95099,35,6,72
42047,54,32,140
96971,64,35,125
89656,69,19,11
63460,71,49,144
62271,54,25,57
61347,37,44,12
50116,26,13,129
30154,57,23,24
65169,72,43,13
77407,48,27,44
25601,40,4,41
37175,16,38,148
80254,5,26,128
78521,64,41,101
39080,20,18,134
79120,43,3,59
93637,8,18,38
44594,34,9,113
84393,36,15,35
88550,7,33,146
44941,59,42,87
21293,5,34,1
79491,10,2,121
78313,74,6,10
5502,60,20,47
72318,35,33,36
31278,60,18,87
97816,10,35,89
90706,42,8,86
30630,52,28,116
99430,63,31,106
17585,65,37,83
82925,46,28,73
31364,8,23,84
41321,57,25,23
31708,21,29,97
40556,75,40,93
19786,51,21,121
4865,47,39,55
83986,8,28,17
87636,6,42,108
90022,61,13,6
31191,61,19,136
77335,58,9,15
41644,61,19,71
89871,28,35,22
40029,23,50,106
44660,22,28,78
41833,68,13,144
28584,74,38,82
4459,28,4,139
90052,56,15,43
3344,69,15,110
53999,25,2,130
27712,55,46,60
53720,57,40,106
8521,28,48,69
86112,56,6,32
95230,12,47,66
13686,28,21,114
73451,10,40,140
86916,42,46,33
10545,34,47,14
18216,5,29,69
58749,62,29,62
699,16,18,95
1656,38,23,43
3967,15,13,105
22490,64,6,22
26046,42,46,129
1761,58,15,90
85008,24,50,35
51543,62,22,65
78750,66,33,94
69752,24,27,102
14836,21,17,110
78198,43,44,75
44374,64,8,78
72639,17,21,93
86937,75,29,126
35472,42,9,70
4887,48,38,22
20008,27,33,118
18189,16,38,40
94744,36,19,63
40432,40,39,57
81155,68,32,85
13092,49,44,18
50951,70,3,21
79711,65,33,138
28855,61,25,53
63997,73,15,112
10997,44,9,144
45624,46,43,49
8735,31,8,46
81534,28,25,126
8898,19,47,17
17118,10,49,52
89514,6,25,110
43877,15,13,45
78719,8,14,55
67761,23,14,101
23333,39,45,93
7656,74,26,59
41900,71,24,63
44812,50,8,6
26483,70,32,42
7535,33,15,111
32363,70,42,17
30705,69,4,129
10737,27,19,58
10356,56,31,129
68478,47,4,53
60735,71,5,9
7876,5,13,15
11352,72,10,134
36822,46,6,23
25064,10,47,25
56490,28,21,125
35719,32,21,92
22560,51,33,21
13781,17,5,18
23991,40,44,79
18833,20,14,118
93220,75,26,19
37212,24,8,141
47491,9,29,16
44009,35,26,130
57209,64,6,8
47178,22,47,108
6876,6,44,134
44700,36,34,89
2940,22,9,26
36526,64,29,77
50076,44,3,116
22223,60,19,35
98634,63,1,144
15963,12,19,115
46141,62,10,115
17729,23,34,137
25353,30,6,62
6850,49,27,58
43476,22,45,103
38093,5,41,99
92582,19,47,85
84521,7,9,70
13940,67,7,10
56781,25,12,33
23002,68,8,35
68083,13,6,101
93419,6,46,66
46863,18,10,31
63062,16,50,94
9789,37,25,122
78707,61,35,127
71002,19,3,43
9490,36,35,57
47857,54,42,36
94709,32,26,113
63374,24,47,112
82002,47,19,93
41917,10,9,62
89687,19,3,80
24469,50,41,150
89912,15,31,58
39849,55,25,75
83425,24,10,73
53457,9,40,50
63243,22,29,92
48687,31,10,119
49354,67,10,4
37827,59,36,64
41555,29,18,1
80005,64,9,130
8008,34,11,63
94236,29,36,112
29945,65,43,98
68443,44,23,54
67427,67,9,53
29743,34,39,106
40664,47,27,24
2974,15,6,100
75698,9,47,80
41131,31,25,90
54116,36,23,34
77512,42,17,43
88766,66,6,107
3906,40,29,101
29120,49,10,76
26060,70,15,2
36010,22,45,22
44362,11,40,95
29356,45,3,39
82043,50,50,138
50244,27,20,142
65140,71,11,26
26693,40,45,125
6789,68,34,54
69379,67,32,6
13132,73,44,25
5348,65,8,20
20337,5,10,101
63071,13,27,92
28180,33,10,20
78801,22,9,125
19293,73,10,148
22580,53,6,55
56770,14,50,108
2010,54,29,115
10294,54,9,127
91609,29,43,43
63602,57,29,7
24991,52,49,7
35299,74,46,68
71844,7,10,5
20871,5,34,19
90273,29,41,109
53142,72,20,41
24908,24,21,131
62804,20,35,14
67462,55,5,148
64093,10,35,147
52474,35,9,45
38847,18,24,145
704,38,13,92
10385,57,46,22
75323,64,15,25
70494,46,45,73
2289,58,1,104
1658,42,46,95
97291,29,35,66
85109,57,28,83
82068,32,31,2
27653,69,23,83
58085,45,23,16
56510,17,10,149
5889,66,25,82
53171,39,46,56
30271,11,37,149
18443,28,39,78
59210,74,20,60
98688,26,25,76
14008,42,5,147
85814,44,8,119
52981,29,12,20
42274,68,15,112
74719,44,38,61
50581,64,25,44
71107,26,34,108
