Store,Container_404,Bad_Subs,Manual_Pick
53223,63,27,82
24612,33,47,115
40717,69,5,61
77993,74,20,171
99213,27,28,1
84756,49,49,140
51481,61,13,92
72718,6,23,160
25002,65,6,8
82797,74,23,52
21747,71,35,36
87853,15,3,115
98726,6,18,168
11574,61,34,70
20102,55,33,31
21089,74,22,47
25749,62,10,9
66713,10,36,69
98777,4,12,136
82581,60,46,121
19187,37,43,9
11164,29,36,140
29737,2,31,26
44943,13,3,49
77585,57,33,179
26817,15,37,92
80760,24,6,54
94485,48,24,167
43599,62,5,82
66771,10,23,62
34336,4,37,46
17607,42,25,56
90025,61,11,91
92471,5,49,176
77404,19,23,41
93767,55,43,177
73314,8,28,151
74457,4,30,184
68694,47,24,31
95405,2,45,161
95722,33,47,33
53814,42,48,124
866,41,19,135
88701,56,11,142
29480,39,2,21
3352,34,42,134
48142,49,49,98
33242,53,46,87
6619,38,37,182
42319,74,14,34
64151,23,44,142
3195,31,8,40
78177,46,46,30
46011,29,18,90
82021,72,50,135
63353,6,23,130
62596,47,35,155
28515,2,50,45
1453,11,28,96
91771,39,22,123
94620,23,6,105
98887,50,23,181
70327,71,16,92
22655,58,19,33
47806,41,36,184
52666,56,11,118
45275,21,38,25
22332,34,41,122
94445,30,19,5
205,24,10,93
84201,71,29,122
41374,69,1,142
83070,27,35,94
303,59,19,129
48100,67,7,142
12456,1,8,39
16827,18,15,44
62485,48,21,80
11546,53,31,120
55740,10,35,131
93202,53,31,118
61997,64,15,16
48470,24,36,139
80018,72,2,8
44277,71,23,149
96044,2,37,43
88333,22,45,60
95261,24,15,124
64536,22,13,24
38141,1,34,24
17850,64,6,37
41921,35,20,44
35698,69,39,182
62947,34,4,98
44648,29,38,62
17581,37,48,199
57530,73,18,122
51202,6,45,120
58111,21,46,160
6153,45,38,3
25791,68,23,172
34292,17,46,177
23898,42,19,167
73945,34,19,138
63968,9,42,45
65869,73,31,161
25693,57,21,173
11341,20,36,17
46336,11,16,129
9065,37,38,104
60140,59,24,62
11913,4,12,128
44465,25,36,69
37552,65,8,1
37241,29,26,134
54364,37,36,122
5819,8,11,61
25158,48,47,37
74354,24,22,4
70916,58,44,48
83635,13,23,113
20063,31,22,96
99188,22,47,15
10654,11,4,76
16451,28,47,120
68392,7,46,41
57762,22,28,186
99243,43,13,154
557,27,2,41
95576,15,44,28
33106,30,18,111
21002,75,22,39
57129,50,31,167
34711,46,47,120
366,22,39,46
30004,31,11,152
89115,54,34,145
46067,60,6,127
40956,56,47,92
58347,33,26,113
84923,50,27,25
27392,56,41,152
11637,71,24,12
32531,45,32,98
38016,12,40,25
35391,68,6,162
51076,48,47,67
14263,48,2,7
1550,59,12,190
97355,4,29,34
1270,8,29,102
51264,54,10,10
26807,53,5,152
71209,67,27,167
44415,53,34,126
31456,71,31,181
12337,25,25,24
62820,55,8,26
76255,6,41,191
74729,2,3,57
5072,22,5,23
94520,69,21,112
76247,48,43,74
18568,29,28,155
7823,33,26,111
78631,55,34,68
86062,1,43,8
7247,74,3,186
88414,54,25,40
91137,12,26,125
55771,59,38,143
4987,50,4,71
94682,6,41,185
46795,35,45,142
59675,50,12,82
81063,8,33,86
38275,8,34,149
54270,66,27,136
25031,48,43,119
99169,54,1,1
76503,21,46,49
34346,43,29,85
55508,37,32,78
58407,41,15,159
44321,43,32,54
58261,15,17,37
36009,59,50,170
31682,26,23,72
59253,49,50,53
74912,74,19,16
42821,8,10,121
77787,23,40,196
76875,55,46,105
59392,5,8,99
49879,26,3,53
87321,13,4,163
14295,7,27,102
23226,22,41,51
99332,3,38,4
63063,59,50,79
15126,11,5,181
85620,29,31,124
24212,36,23,85
20140,33,5,67
22244,73,39,27
88157,73,46,18
37654,40,49,29
19404,32,5,74
87674,37,24,4
38478,20,4,70
43289,73,29,142
95791,3,23,163
87534,69,50,116
64864,15,45,153
59854,46,28,112
22188,71,40,77
12404,50,13,15
26070,34,10,138
61788,52,39,145
90058,60,35,121
39891,51,11,137
25239,38,8,133
49028,59,28,81
15076,28,28,93
50739,58,30,142
91517,1,15,85
97925,46,47,12
59131,36,8,176
93793,18,43,9
69758,44,3,28
36575,45,5,105
94091,34,3,140
99586,58,13,51
45042,49,49,167
10739,9,22,31
80606,43,38,46
92964,5,47,144
99219,1,25,156
40443,42,47,35
49742,1,3,8
76475,55,43,145
87046,36,49,119
3882,19,36,163
18840,53,23,46
37303,68,30,198
97020,60,5,67
15908,37,23,111
18573,57,1,97
73733,30,30,19
46219,52,40,59
6160,42,38,72
22252,59,12,84
62709,39,8,56
39263,72,40,32
79134,22,14,121
83799,49,19,67
38720,32,1,38
31525,7,2,66
60196,16,32,133
26379,16,44,173
81443,19,35,18
23586,69,24,38
62943,66,37,197
49242,29,25,135
42454,2,3,88
70316,10,28,68
54921,26,35,93
57686,63,10,126
82370,37,30,132
42686,37,46,46
98937,63,8,86
86331,16,48,173
98521,48,15,110
82929,14,21,195
58501,57,38,30
45397,27,2,168
88361,57,20,118
17499,19,42,171
41317,24,39,182
55472,61,6,24
94326,71,7,113
70254,15,29,62
18571,73,44,44
47390,66,31,58
28971,36,23,15
2368,23,8,134
47574,55,39,125
21388,31,35,89
2528,70,30,80
15795,7,11,43
79506,17,13,82
75420,28,11,196
32875,67,41,148
15718,39,34,54
95051,19,28,60
7175,2,15,50
53570,46,15,4
65845,68,9,65
80723,27,39,74
77986,31,50,12
41492,46,41,64
41188,39,3,78
70800,39,43,181
88442,38,3,88
13888,26,47,133
61919,3,26,168
60274,9,34,163
48431,62,46,18
68254,45,38,167
58502,48,23,26
52435,54,15,37
56898,47,27,127
10760,29,42,134
57503,21,18,146
50604,15,27,68
38118,36,27,9
83221,14,22,100
77253,43,50,120
14108,75,23,170
34499,56,2,7
75821,59,50,102
57189,5,2,93
5005,55,6,111
14657,33,5,74
18884,46,49,10
14745,27,4,195
60353,33,16,3
53679,13,47,75
1130,47,28,139
86419,33,4,93
4552,16,30,120
38676,68,44,157
63946,39,27,39
18899,56,16,167
63663,59,42,33
90746,23,25,53
82719,15,40,127
93271,75,35,44
97163,36,29,106
56532,40,10,117
47665,14,8,122
93310,13,12,42
65230,43,18,29
23552,70,26,135
60869,21,30,54
14062,71,14,168
25583,21,4,71
762,41,26,60
89231,50,25,122
62985,44,48,48
67585,25,34,173
76804,72,11,90
46417,48,13,66
43903,41,3,154
40062,50,22,185
58530,49,18,49
2479,49,23,1
14395,35,40,15
72553,56,41,140
64845,57,15,183
7262,19,39,119
12961,42,7,99
93438,33,44,139
5448,18,14,152
88094,61,14,153
92968,68,7,39
83418,54,37,79
57397,28,4,163
25309,18,2,161
25851,70,36,113
25332,13,20,2
1910,34,13,165
41241,9,24,11
5575,51,19,45
77463,4,34,131
43698,55,9,29
79958,14,40,95
53229,16,19,80
23656,8,42,179
22225,46,11,166
95905,56,49,193
74329,44,8,40
5844,51,11,106
79445,50,9,191
28962,59,2,193
26873,12,12,89
69675,55,38,130
21390,17,9,111
23351,17,14,68
21434,3,35,124
82976,68,23,136
31031,63,13,155
96775,63,24,99
41457,14,31,160
92281,43,15,61
54858,24,7,171
98822,17,3,107
27495,74,41,38
2811,53,23,44
87225,17,19,108
82751,16,50,21
63387,9,8,99
57657,75,10,77
60859,64,19,175
20467,27,8,53
23333,39,25,43
59720,59,9,148
38336,65,22,187
73312,34,5,155
79477,27,12,73
77401,48,9,41
61031,59,50,121
70068,55,11,7
92401,5,50,78
53113,73,23,103
89115,22,2,40
