Store,Container_404,Bad_Subs,Nil_Pick
7699,28,12,201
6229,33,7,219
4193,37,12,267
4200,36,9,239
9403,29,13,224
7172,33,9,249
7704,30,15,254
4516,37,13,229
5597,19,8,233
4514,35,19,238
5191,40,11,239
8727,22,12,222
9478,36,9,229
8365,35,9,273
7089,37,10,218
7264,23,9,225
8382,20,12,247
9718,32,9,216
6217,41,8,213
8378,36,16,237
6128,35,8,216
8539,39,14,220
6201,35,11,259
8321,34,10,254
8788,26,10,216
5895,23,8,235
4484,34,4,221
4396,31,10,204
5564,38,13,225
4306,19,11,255
8460,39,11,239
8974,44,11,279
8149,26,10,223
9510,34,6,199
5755,38,8,225
5014,36,6,240
9789,39,10,262
9100,53,15,204
8990,29,5,263
6485,38,13,242
4944,41,6,243
9712,48,10,244
4300,37,10,254
7009,37,8,225
4536,28,9,244
7363,21,12,248
6859,38,10,250
4049,34,4,214
6243,24,7,254
5744,32,13,234
9784,33,11,232
8789,32,12,230
6398,32,8,214
7669,31,8,248
4074,41,11,205
8041,30,10,252
9524,32,9,220
5131,21,13,253
4672,25,11,200
6667,46,5,234
9150,47,10,226
7249,40,7,186
8339,37,11,216
6112,42,10,215
6676,30,10,229
9811,33,11,249
4811,34,11,230
4584,28,11,269
8069,32,7,234
5636,37,6,231
9492,26,6,210
5907,31,11,237
9003,40,6,221
7707,22,16,238
4027,28,9,247
6179,30,10,277
9642,30,12,231
5838,48,8,235
6813,44,9,243
6410,44,14,229
7712,35,8,238
5490,38,17,252
7149,26,9,238
4558,20,11,244
8414,40,8,205
9341,33,8,236
9816,37,6,218
9156,35,7,244
9454,37,6,241
7844,42,13,222
6551,27,13,220
7184,51,8,203
5440,31,4,208
9627,49,7,256
6330,22,11,245
7498,39,11,221
7349,34,10,235
4731,31,12,234
7911,33,13,227
5523,39,14,245
9902,31,5,227
8956,22,15,261
9433,47,5,207
4520,27,5,232
5899,41,10,199
9715,34,13,227
8351,27,4,233
9685,43,12,237
8033,35,9,267
6813,20,5,182
5362,45,10,236
8162,30,7,219
8760,33,7,217
6806,18,11,271
9112,32,13,267
8322,21,10,215
6453,22,11,244
7765,32,11,226
8280,46,10,213
5049,32,5,225
5192,28,8,225
8828,24,5,238
5436,32,8,210
8190,24,7,225
7928,40,8,244
6537,35,10,223
7833,42,15,225
9666,36,10,251
6674,28,15,269
9458,46,14,228
7410,37,12,219
8284,43,11,250
5057,28,16,224
6671,36,12,246
8301,41,10,233
8649,43,10,231
7459,38,10,246
5834,34,10,267
4171,42,16,202
6421,20,7,230
5840,22,14,233
7371,41,10,257
7561,30,9,257
8525,32,11,230
7953,46,7,246
5262,29,11,218
8732,21,11,222
9875,41,7,220
6814,39,5,231
4650,37,12,284
8849,41,18,236
9836,35,10,236
7342,31,8,229
8277,35,8,232
7488,12,11,198
8496,35,12,240
4232,29,11,212
6976,32,7,212
6150,28,10,205
8859,32,8,258
4868,43,15,220
8734,39,12,233
9186,33,7,228
5831,27,9,218
6839,31,13,198
8060,35,13,255
6679,33,12,228
6770,29,14,214
4149,28,11,189
9944,34,12,223
9342,36,11,219
4691,44,6,235
9589,26,13,220
5878,29,8,245
9331,43,15,244
4037,27,6,196
5255,20,10,219
7770,38,10,206
9687,34,12,219
4049,30,9,212
9128,30,8,260
8159,40,13,239
5700,42,13,234
8431,32,14,225
8282,26,9,232
4964,37,10,234
6393,44,10,255
6554,39,7,246
6487,45,13,190
9622,35,14,265
9373,32,10,229
9627,39,7,220
4475,26,11,241
5680,21,12,264
9945,20,10,238
9800,34,4,260
8906,36,9,259
9200,16,9,247
4796,39,13,254
7983,28,11,228
8909,31,11,232
9368,33,16,242
7282,35,10,215
9538,28,9,202
5659,39,6,260
4624,23,13,230
5197,38,15,224
9470,41,7,247
6669,35,6,261
8149,25,14,221
5885,34,10,221
7828,27,8,203
7185,39,8,229
7269,27,13,224
7053,23,11,268
4855,29,8,245
9950,57,7,199
8617,41,10,239
6595,31,11,245
9163,29,14,203
8617,24,12,241
6318,31,10,246
7449,31,10,241
5165,17,7,242
5535,41,8,239
7116,31,8,215
7424,29,9,229
9299,37,9,218
5876,36,9,245
7999,29,11,254
5249,30,12,206
6412,29,5,216
5168,24,7,212
7816,29,10,267
5687,32,11,260
5193,30,11,246
8396,38,5,247
9429,26,10,183
5465,26,10,211
9799,24,7,202
8362,18,9,264
9729,43,13,252
7466,29,10,258
9455,34,15,202
5646,45,15,231
8656,42,12,206
5514,41,5,234
6945,25,10,222
5094,34,7,225
8829,40,6,273
6628,30,7,224
8602,37,9,225
8577,33,11,257
9995,36,5,211
8005,44,11,202
8561,30,7,263
6651,41,12,261
9648,29,11,243
6358,32,9,255
9713,37,9,220
4605,30,9,252
9995,24,13,246
6600,27,5,290
4762,16,11,250
6929,41,10,212
5517,35,10,216
8589,37,9,260
7233,32,7,237
6787,28,9,247
8927,31,7,258
8949,38,13,201
8579,46,15,268
4478,37,9,241
7836,28,12,220
7950,26,10,199
9715,16,12,211
4343,44,8,245
4769,31,9,230
6133,52,5,225
5479,33,3,238
4275,37,10,249
7225,46,7,262
5115,45,4,282
9000,35,9,224
5480,22,9,268
4069,22,9,248
7305,24,10,238
5525,32,11,228
7652,26,11,238
5535,39,11,225
9279,28,10,228
9855,33,9,259
9547,25,12,209
7950,27,13,250
8362,26,12,255
8952,36,14,243
