Store,Container_404,Bad_Subs,Nil_Pick
74412,69,38,347
21376,47,16,134
44269,18,31,342
84416,39,32,327
47635,61,15,256
19155,60,29,25
83528,26,24,16
14310,23,27,365
78055,14,27,31
99889,1,25,280
93499,66,2,227
95094,1,12,54
72931,33,16,101
86980,21,24,411
75086,32,21,44
12987,74,44,114
51412,27,36,86
3038,30,22,281
29853,66,43,20
33514,6,34,325
11499,64,27,343
86869,3,4,193
74853,10,42,29
16383,70,46,164
26355,29,42,154
62157,57,2,322
45736,44,12,445
35322,10,37,154
76199,40,39,452
28122,49,46,294
9101,69,21,180
16801,6,2,172
17455,8,39,174
15636,29,10,453
77702,66,14,129
90541,48,24,281
63746,15,11,73
26170,47,4,221
8084,52,24,412
37573,52,2,441
83658,29,11,209
33341,5,15,277
51595,8,15,348
77121,72,31,139
72,6,5,313
86855,58,23,277
30240,32,39,92
60173,52,6,55
12128,52,9,435
7123,73,4,316
15072,19,33,417
43486,1,22,91
69479,2,36,279
68668,13,13,394
68781,64,19,340
11875,54,1,360
24926,70,38,446
23169,53,48,146
25925,15,43,74
73912,1,40,435
36143,57,19,236
86377,2,35,248
29665,16,40,182
49111,3,31,353
9190,18,32,174
50079,3,47,120
36878,46,46,294
7801,54,47,53
10803,7,45,85
60881,29,50,139
86622,37,18,26
51023,25,23,331
39496,75,35,379
1295,35,40,388
67202,74,43,52
64439,16,16,387
37568,49,22,101
56237,64,47,71
65720,44,24,43
66870,39,41,447
69373,43,6,38
56092,9,27,271
65284,30,19,236
9362,66,22,408
96565,54,47,127
58424,70,17,149
54865,13,31,292
65771,19,5,269
56281,52,45,441
78606,64,40,96
73543,17,4,333
88139,53,34,427
3384,6,18,150
65020,36,17,338
17831,1,36,243
87758,4,19,457
9104,43,2,233
3137,53,34,50
24382,38,34,32
13796,45,40,368
1348,14,26,180
89129,13,46,352
80785,29,8,47
25400,63,40,414
67284,32,20,369
93854,24,44,109
48089,60,16,366
30106,49,37,57
34468,31,47,359
50025,16,48,72
65431,50,8,318
58864,57,7,80
33161,35,47,147
92032,56,49,226
66994,22,14,447
13108,61,39,337
73296,73,1,95
12694,52,15,308
60981,33,31,303
75950,55,9,108
859,10,43,455
47588,15,25,331
60683,55,29,203
22368,28,19,147
75964,45,40,355
34406,53,43,255
83546,62,48,260
49885,11,24,385
49116,25,11,460
20724,59,41,300
91227,26,25,170
93423,51,16,344
12780,34,28,27
35390,55,36,441
10957,2,46,147
30352,4,38,333
43457,20,33,113
12783,40,37,74
50323,63,25,323
65555,23,5,350
44434,26,35,346
12984,16,11,207
47719,53,20,412
37417,18,43,173
48879,26,11,230
42032,63,22,201
84669,41,31,305
79187,31,3,199
36182,34,25,286
61682,15,33,446
31748,73,47,63
31027,10,48,275
31220,55,14,400
49130,48,25,240
94327,10,30,374
26649,7,34,57
62366,53,22,132
26314,42,5,373
32350,34,23,184
94693,67,34,206
88334,75,32,393
2293,52,6,248
20276,53,31,345
87616,1,4,290
42590,75,11,42
28583,45,50,288
6839,34,50,268
42265,25,5,263
59914,27,33,295
16514,28,24,196
17972,16,35,71
13443,33,45,400
50999,19,1,165
48249,51,29,173
93748,37,38,229
3068,41,23,400
50774,47,21,254
45032,34,1,313
7941,15,16,137
87603,8,40,416
19140,37,19,421
48435,74,41,64
28540,3,11,90
24748,2,23,394
2745,44,30,162
57480,75,46,398
95185,22,43,113
99670,11,19,365
58833,28,50,41
90546,61,23,273
34185,38,8,70
17600,40,35,24
38687,27,46,329
33719,19,36,221
62284,46,20,245
30477,55,10,30
59017,53,39,225
35739,59,4,133
68170,37,27,346
35773,27,22,149
19840,28,1,378
17907,41,4,348
30796,30,41,396
12033,15,19,270
26420,31,36,406
23744,34,29,310
7395,40,19,217
54188,26,14,382
609,37,34,99
56156,43,28,346
17436,48,2,191
71747,53,39,152
34650,47,37,262
34846,67,44,100
89704,70,40,232
34429,26,50,446
74365,43,27,130
30453,64,30,15
1450,59,26,149
75271,20,49,214
51433,72,20,391
21186,20,16,223
60094,70,9,455
97547,71,4,441
18375,21,43,446
81355,13,47,28
1034,33,12,283
65349,30,42,237
91086,66,9,330
43259,4,46,268
46344,43,12,287
15346,45,43,227
34677,12,32,81
27627,58,29,124
80576,64,45,337
302,26,12,31
43191,39,48,131
22695,52,33,317
12461,6,19,408
21585,57,36,131
81889,9,22,154
59611,72,31,440
78410,19,40,447
33412,42,28,208
5598,26,28,355
18502,33,31,108
75808,37,21,12
99547,29,40,85
67292,38,15,42
23254,70,27,321
98663,29,30,295
40989,1,20,153
3901,56,2,281
14387,52,11,78
31606,37,4,53
52485,31,34,449
8412,56,5,372
98514,16,3,50
37147,32,6,31
67982,27,43,59
94136,25,15,63
27318,26,43,124
72758,23,46,411
56349,39,15,137
68687,65,25,110
58308,74,12,323
40630,3,42,270
67191,46,28,337
86223,74,5,176
57554,36,1,428
83911,70,16,247
56758,74,24,315
43777,73,4,334
69405,69,19,362
46292,55,15,13
50151,63,31,288
98870,35,31,330
71526,42,15,319
50722,62,13,217
72908,43,6,427
44735,71,15,268
70695,13,29,129
52909,22,11,54
78055,67,48,51
31947,24,21,371
53993,10,25,432
15364,51,10,229
65158,30,5,376
98785,6,9,406
65025,44,38,53
34308,47,29,305
8394,16,22,364
12531,51,5,434
76960,19,35,225
75389,65,46,199
6038,11,26,74
40920,43,46,283
93416,44,17,338
89187,9,47,74
13229,32,5,407
19086,39,9,271
23572,34,30,138
78112,31,33,19
52980,65,36,140
94740,40,34,300
18075,68,30,63
96829,47,47,324
40435,67,35,347
86316,1,9,52
15350,7,46,87
27096,27,6,199
75739,70,9,198
39573,48,9,275
90134,7,3,415
35829,6,26,181
47499,55,26,241
58016,39,14,254
93389,13,48,297
78889,9,6,17
5319,45,30,444
98072,57,36,374
57809,21,31,248
63715,26,41,178
81860,56,1,224
45658,72,11,128
5261,45,29,427
43866,17,43,442
48128,55,26,143
38081,13,4,292
75213,59,31,438
20714,55,50,166
8585,49,37,221
30467,5,8,345
32521,46,3,74
80098,6,38,441
16522,26,4,111
41768,73,3,399
24100,49,13,263
5122,68,26,80
25958,68,3,122
96099,16,7,399
17623,57,7,357
99170,64,14,151
54070,36,1,386
83647,54,43,336
36937,57,6,294
35453,68,41,130
53171,71,44,453
49644,56,6,286
77525,64,6,440
44312,57,21,225
94405,55,43,141
23063,17,16,185
5430,25,15,375
86631,56,40,21
78406,74,19,234
51938,53,32,135
20276,62,16,422
66300,11,24,123
44778,22,48,41
8139,36,46,155
2399,17,47,326
96457,12,24,36
47002,59,24,33
55846,23,16,244
49350,45,8,415
64653,32,8,45
10351,27,11,323
15202,75,32,422
55601,50,29,302
72952,48,1,18
58953,32,19,191
7113,46,48,305
10329,4,39,289
30229,71,39,271
92229,66,21,380
47863,69,17,70
72646,69,39,403
12646,71,1,243
21884,50,12,205
65554,71,9,250
36027,63,40,378
33224,75,9,436
21750,24,18,411
74568,50,24,296
59033,20,20,162
48023,44,16,24
11907,11,37,19
905,37,24,43
75047,53,14,78
98387,2,5,147
71067,17,2,387
3719,29,48,410
35555,44,6,244
32080,70,9,37
71297,6,46,146
5395,63,38,115
57761,30,39,444
20039,9,38,163
58468,64,15,347
80465,33,49,374
40546,40,8,111
40991,35,36,429
15195,75,30,293
49915,66,26,194
34588,45,49,43
68312,55,46,429
53465,38,30,55
11710,40,19,49
91495,67,48,401
75561,19,19,322
15890,3,6,104
40594,38,26,138
74940,6,47,81
52709,58,8,26
8057,47,2,64
37720,68,3,64
30691,74,19,317
77385,38,40,457
8300,39,17,157
53909,30,26,460
19443,45,40,246
37306,27,30,179
68565,30,21,427
68138,44,42,164
76004,63,34,150
89101,70,2,453
55145,1,3,455
91939,20,39,379
91717,21,8,100
6635,72,4,214
49343,56,40,424
91153,53,4,307
67959,63,16,448
25627,20,22,384
86315,73,20,69
17677,13,12,160
41293,20,10,433
48410,6,12,122
63255,28,29,451
72834,10,9,143
27375,34,14,138
56188,40,13,427
32303,51,32,68
97912,48,12,168
61982,13,42,451
18599,48,43,318
69990,45,46,233
2059,10,4,47
28995,45,35,297
65069,56,29,326
54715,6,6,406
11301,23,2,179
91465,63,11,286
24509,19,16,177
42011,54,6,357
34043,26,17,324
96420,67,45,63
47834,26,36,425
68177,22,26,399
59322,10,11,190
20261,51,39,37
57489,72,19,177
63541,2,25,391
42735,12,39,305
4142,64,3,11
67254,39,4,382
51146,15,16,255
68034,44,35,282
59603,35,20,405
81624,21,18,276
89632,74,5,162
99304,27,30,157
94311,53,7,157
78607,4,50,274
85336,34,50,153
30754,74,15,83
83573,56,28,372
50443,19,7,306
61842,70,39,392
29356,68,44,113
6251,6,18,154
41134,65,14,223
3955,72,2,398
30314,73,14,308
23696,48,25,185
88200,36,36,377
64190,31,4,192
74875,54,15,241
78435,58,21,183
85621,6,27,408
21816,52,32,141
63832,2,25,436
7102,6,7,442
63748,56,36,193
54845,53,21,322
40315,37,17,253
81376,57,44,354
81749,66,2,277
69846,57,7,284
82284,65,13,358
71805,20,49,442
95518,66,6,424
82401,55,16,80
93057,66,33,452
30749,67,3,191
15151,66,47,427
87649,53,23,376
63083,66,6,295
15049,23,34,373
10946,1,40,71
19119,13,8,321
253,51,3,15
64498,43,34,418
48682,6,14,403
99477,41,35,333
89909,70,42,143
57408,1,27,372
27111,70,16,348
652,49,41,123
92177,1,21,337
84488,69,10,398
18298,1,28,413
11052,55,26,183
65344,57,6,460
67781,53,20,335
49956,41,45,134
22263,46,35,197
44580,42,23,341
70387,66,15,61
34096,72,48,149
56487,40,5,75
84037,22,39,123
33723,26,14,247
4593,42,7,435
30585,33,41,152
53304,21,46,204
77193,47,48,430
21236,49,36,119
98301,22,45,246
31475,23,42,130
59432,26,35,144
47047,67,22,409
77983,8,46,412
38426,73,16,124
44782,36,11,414
96409,55,38,375
50667,20,7,342
23814,1,20,244
12299,59,45,187
57699,16,21,101
26283,65,29,356
43756,71,22,218
57591,70,48,456
55002,47,27,38
61196,14,15,394
71360,23,27,160
66912,57,49,244
4182,55,43,438
80265,52,14,278
48502,49,39,440
25909,50,28,143
80936,25,40,100
97926,1,39,356
16355,67,18,440
61325,25,44,29
95463,2,1,147
29719,72,29,265
78261,75,6,134
89731,20,40,285
31064,66,41,444
43058,21,39,10
18223,61,1,14
74009,21,24,140
78276,6,31,334
26519,25,25,12
22468,51,24,357
45343,25,10,315
27250,13,6,90
22852,67,17,342
63982,40,30,92
53405,11,18,372
54236,59,22,48
22996,59,17,288
39316,12,39,265
9260,24,25,352
94186,31,38,417
14612,19,19,92
59937,42,30,34
99564,8,37,458
51187,13,49,67
153,67,35,186
95602,48,32,417
51612,55,49,356
81887,16,30,185
69399,25,40,48
82785,20,1,218
22954,41,18,96
36652,57,12,332
84610,69,44,403
63672,53,33,192
771,17,9,129
16146,72,45,454
96646,5,10,200
80749,57,2,236
40593,10,12,75
49804,38,38,125
62727,21,15,417
90362,31,8,226
10051,9,2,128
31487,18,32,298
37927,11,25,315
72781,56,12,458
16903,60,30,373
8124,17,29,14
37697,41,2,71
22168,55,20,303
97873,14,10,362
40165,11,28,378
34041,70,14,273
59802,36,14,277
94285,41,33,158
79713,52,50,388
73636,36,31,394
8155,21,44,376
61418,58,28,142
95025,6,10,21
35738,48,24,210
3398,50,33,283
51939,59,13,284
80632,56,13,98
58286,3,28,25
68801,31,41,41
8752,29,16,128
47302,44,1,398
8739,42,28,140
63895,7,18,102
67347,8,30,191
50249,74,49,401
86927,63,39,455
22592,4,50,447
13233,25,43,102
26432,65,32,309
72496,43,16,370
11734,44,21,133
61817,14,35,314
53462,27,9,100
72113,46,8,226
97724,50,41,262
68287,65,15,126
25693,74,39,21
45895,37,45,43
47933,43,13,428
51959,6,11,223
89516,28,2,235
75567,53,40,240
