Store,Container_404,Bad_Subs,Nil_Pick
97532,21,49,219
83890,62,34,166
19169,74,12,352
98235,7,45,444
70692,27,22,83
60136,72,31,267
20435,25,29,110
89430,16,29,74
14624,8,38,416
13437,70,4,141
1985,49,8,147
96015,63,11,351
86380,67,20,77
71848,30,4,142
29798,14,28,388
96253,63,40,180
29785,56,44,148
74038,7,5,66
44606,46,5,349
32726,31,16,105
80279,49,45,312
26522,23,43,127
42124,53,3,64
64739,15,4,455
20233,71,43,230
33807,26,32,391
96850,61,42,86
21701,8,43,165
32941,64,13,129
73786,53,11,381
29393,38,20,147
77735,5,31,86
59748,48,41,221
58923,56,15,56
28228,26,26,174
36252,55,32,101
21866,72,10,319
21148,7,41,226
22905,20,46,173
66683,6,31,38
17833,25,49,308
27077,17,27,256
23641,38,8,195
21016,75,47,380
70358,46,14,187
9546,31,24,212
96241,42,22,405
50516,36,5,369
73652,32,8,366
43411,39,4,230
87240,60,28,22
60652,47,32,234
97916,17,41,107
91532,9,34,372
83958,38,47,309
14434,64,36,127
3984,10,44,83
1245,53,13,432
11138,60,4,368
26274,17,24,312
31787,56,10,38
733,23,6,321
25705,63,28,265
56204,55,24,20
34984,24,18,343
51390,62,35,322
75188,51,2,172
51552,41,46,359
13257,54,8,347
31859,19,27,104
29263,74,16,421
59116,62,23,260
82177,64,33,215
3505,73,33,32
21718,42,17,232
61260,7,24,122
11502,53,40,98
13975,40,11,227
66479,12,19,454
4098,16,4,286
59745,33,5,30
1090,48,30,231
53646,63,3,65
42444,50,26,163
9165,50,31,178
5206,64,36,64
63706,39,12,191
86162,40,12,172
81052,42,20,136
31333,17,4,225
35996,73,30,155
52937,50,34,204
93521,29,45,369
16185,5,29,167
25367,53,5,144
94106,9,3,288
2748,58,44,246
91616,49,10,323
66150,26,6,418
21722,36,6,413
79462,32,4,457
70428,63,8,209
10058,20,31,183
46305,5,35,74
924,52,16,454
92528,15,23,53
54397,19,42,32
34316,68,4,120
62941,58,9,407
38367,37,27,177
2020,75,26,439
6458,68,41,351
68170,54,29,394
20069,58,43,55
95009,64,32,60
7091,19,7,72
73689,50,47,333
80121,27,29,100
55306,34,29,250
28714,48,11,139
77196,27,28,51
63637,60,41,125
19010,75,7,326
74856,11,27,276
61257,35,10,460
97372,41,24,47
85043,16,1,321
23001,63,48,434
88774,9,5,74
88939,7,24,119
91746,33,13,203
73657,20,49,352
97562,24,5,384
83917,29,33,299
47650,61,7,223
96327,65,1,305
23566,36,33,24
11883,57,20,438
84658,63,30,67
92447,33,35,53
19000,6,6,393
39439,24,29,414
70204,6,12,256
35931,44,38,335
82107,8,31,74
18673,66,50,208
66336,51,35,201
12649,7,8,64
53398,63,4,376
74250,27,28,180
57557,10,5,119
6404,58,27,449
16664,39,40,142
40139,14,23,305
88960,31,32,402
56926,43,19,267
55590,27,15,80
14511,63,49,297
9746,67,29,194
83292,70,15,227
65707,10,19,214
50587,8,32,381
10658,13,25,454
43786,64,17,142
70337,59,42,452
84335,74,41,41
64048,63,46,73
99782,46,26,277
1917,51,35,109
89387,69,17,271
16707,55,37,454
98703,29,31,49
44539,50,36,94
6975,47,37,221
20392,57,1,191
